country,population
Bahrain,1701575
Central African Republic,4829767
China,1439323776
Cote d'Ivoire,26378274
Denmark,5792202
Dominican Republic,10847910
France,65273511
India,1380004385
Mozambique,31255435
Pakistan,220892340
United Arab Emirates,9890402
Vanuatu,307145
