country,date,confirmed
Afghanistan,July 9 2020,33898
Afghanistan,July 10 2020,34184
Afghanistan,July 11 2020,34356
Afghanistan,July 12 2020,34441
Afghanistan,July 13 2020,34595
Afghanistan,July 14 2020,34730
Afghanistan,July 15 2020,34984
Afghanistan,July 16 2020,35060
Afghanistan,July 17 2020,35219
Afghanistan,July 18 2020,35279
Afghanistan,July 19 2020,35453
Afghanistan,July 20 2020,35493
Afghanistan,July 21 2020,35605
Afghanistan,July 22 2020,35717
Afghanistan,July 23 2020,35918
Afghanistan,July 24 2020,35978
Afghanistan,July 25 2020,36026
Afghanistan,July 26 2020,36147
Afghanistan,July 27 2020,36253
Afghanistan,July 28 2020,36358
Afghanistan,July 29 2020,36463
Afghanistan,July 30 2020,36532
Afghanistan,July 31 2020,36665
Afghanistan,August 1 2020,36700
Afghanistan,August 2 2020,36701
Afghanistan,August 3 2020,36737
Afghanistan,August 4 2020,36773
Afghanistan,August 5 2020,36820
Afghanistan,August 6 2020,36928
Afghanistan,August 7 2020,37006
Afghanistan,August 8 2020,37046
Afghanistan,August 9 2020,37083
Afghanistan,August 10 2020,37153
Afghanistan,August 11 2020,37260
Afghanistan,August 12 2020,37336
Afghanistan,August 13 2020,37422
Afghanistan,August 14 2020,37497
Afghanistan,August 15 2020,37542
Afghanistan,August 16 2020,37590
Afghanistan,August 17 2020,37667
Afghanistan,August 18 2020,37710
Afghanistan,August 19 2020,37750
Afghanistan,August 20 2020,37852
Afghanistan,August 21 2020,37885
Afghanistan,August 22 2020,37944
Afghanistan,August 23 2020,37990
Afghanistan,August 24 2020,38045
Afghanistan,August 25 2020,38061
Afghanistan,August 26 2020,38103
Afghanistan,August 27 2020,38119
Afghanistan,August 28 2020,38130
Afghanistan,August 29 2020,38133
Afghanistan,August 30 2020,38155
Afghanistan,August 31 2020,38159
Afghanistan,September 1 2020,38193
Afghanistan,September 2 2020,38243
Afghanistan,September 3 2020,38288
Afghanistan,September 4 2020,38304
Afghanistan,September 5 2020,38324
Afghanistan,September 6 2020,38398
Afghanistan,September 7 2020,38494
Afghanistan,September 8 2020,38520
Afghanistan,September 9 2020,38544
Afghanistan,September 10 2020,38572
Afghanistan,September 11 2020,38606
Afghanistan,September 12 2020,38641
Afghanistan,September 13 2020,38716
Afghanistan,September 14 2020,38772
Afghanistan,September 15 2020,38815
Afghanistan,September 16 2020,38855
Afghanistan,September 17 2020,38872
Afghanistan,September 18 2020,38897
Afghanistan,September 19 2020,38919
Afghanistan,September 20 2020,39044
Afghanistan,September 21 2020,39074
Afghanistan,September 22 2020,39096
Afghanistan,September 23 2020,39145
Afghanistan,September 24 2020,39170
Afghanistan,September 25 2020,39186
Afghanistan,September 26 2020,39192
Afghanistan,September 27 2020,39227
Afghanistan,September 28 2020,39239
Afghanistan,September 29 2020,39254
Afghanistan,September 30 2020,39268
Afghanistan,October 1 2020,39285
Afghanistan,October 2 2020,39290
Afghanistan,October 3 2020,39297
Afghanistan,October 4 2020,39341
Afghanistan,October 5 2020,39422
Afghanistan,October 6 2020,39486
Afghanistan,October 7 2020,39548
Afghanistan,October 8 2020,39616
Afghanistan,October 9 2020,39693
Afghanistan,October 10 2020,39703
Afghanistan,October 11 2020,39799
Afghanistan,October 12 2020,39870
Afghanistan,October 13 2020,39928
Afghanistan,October 14 2020,39994
Afghanistan,October 15 2020,40026
Afghanistan,October 16 2020,40088
Afghanistan,October 17 2020,40141
Afghanistan,October 18 2020,40200
Afghanistan,October 19 2020,40287
Afghanistan,October 20 2020,40369
Afghanistan,October 21 2020,40510
Afghanistan,October 22 2020,40626
Afghanistan,October 23 2020,40687
